date,platform,type,datetime,title,byline,url,rank
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Donald Trump is now reaping what he has sown,Janell Ross,http://www.washingtonpost.com/news/the-fix/wp/2015/09/19/donald-trump-is-now-reaping-what-he-has-sown/?tid=pm_pop,1
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Are Democrats and Republicans talking about the same country?,Philip Rucker,http://www.washingtonpost.com/politics/are-democrats-and-republicans-talking-about-the-same-country/2015/09/18/7e6de048-5e32-11e5-b38e-06883aacba64_story.html?tid=pm_pop,2
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Obama to nominate first openly gay service secretary to lead the Army,Greg Jaffe,http://www.washingtonpost.com/politics/obama-to-nominate-first-openly-gay-service-secretary-to-lead-the-army/2015/09/18/d4b1aafe-5e30-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,3
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Carly Fiorina gets rock-star welcome at GOP events on Mackinac Island,Sean Sullivan,http://www.washingtonpost.com/politics/carly-fiorina-gets-rock-star-welcome-at-gop-events-on-mackinac-island/2015/09/19/9441a1da-5ed6-11e5-9757-e49273f05f65_story.html?tid=pm_pop,4
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Pope Francis&#039; fact-free flamboyance,George F. Will,http://www.washingtonpost.com/opinions/pope-franciss-fact-free-flamboyance/2015/09/18/7d711750-5d6a-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,5
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Telling JJ: She&#039;s 10. She has HIV. And she&#039;s about to learn the truth.,John Woodrow Cox,http://www.washingtonpost.com/sf/local/2015/09/18/telling-jj-shes-10-she-has-hiv-this-is-the-moment-she-learns-the-truth/?tid=pm_pop,6
2015-09-20,web,all,2015-09-20T00:00:00-04:00,What to do if you&#039;re 50 and haven&#039;t saved for retirement,Rodney Brooks,http://www.washingtonpost.com/business/get-there/what-to-do-if-youre-50-and-havent-saved-for-retirement/2015/09/18/d78dc196-5b19-11e5-9757-e49273f05f65_story.html?tid=pm_pop,7
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Native American boy pulled from class over Mohawk haircut,Lindsey Bever,http://www.washingtonpost.com/news/morning-mix/wp/2015/09/19/native-american-boy-pulled-from-class-over-mohawk-haircut/?tid=pm_pop,8
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Best-selling novelist Jackie Collins dies,::unspecified::,http://www.washingtonpost.com/politics/california-wildfires-destroy-hundreds-of-homes/2015/09/19/353a02c2-5f08-11e5-9757-e49273f05f65_story.html?tid=pm_pop,9
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Carolyn Hax: Boyfriend&#039;s change in amount of affection sets off alarms,Carolyn Hax,http://www.washingtonpost.com/lifestyle/style/carolyn-hax-boyfriends-change-in-amount-of-affection-sets-off-alarms/2015/09/18/312135a4-5bff-11e5-b38e-06883aacba64_story.html?tid=pm_pop,10
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Bryce Harper&#039;s 41st home run caps Nationals&#039; 5-2 win over Marlins,James Wagner,http://www.washingtonpost.com/sports/nationals/bryce-harpers-41st-home-run-caps-nationals-5-2-win-over-marlins/2015/09/19/5076429e-5e04-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,11
2015-09-20,web,all,2015-09-20T00:00:00-04:00,How Donald Trump tried - and failed - to open a casino in Florida,Rosalind S. Helderman,http://www.washingtonpost.com/politics/how-donald-trump-tried--and-failed--to-open-a-casino-in-florida/2015/09/18/2e1c5616-5d5f-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,12
2015-09-20,web,all,2015-09-20T00:00:00-04:00,End of days? Nope. Here&#039;s the real science behind the &#039;mysterious&#039; Costa Rica cloud,Angela Fritz,http://www.washingtonpost.com/blogs/capital-weather-gang/wp/2015/09/18/end-of-days-nope-heres-the-real-science-behind-the-mysterious-costa-rica-cloud/?tid=pm_pop,13
2015-09-20,web,all,2015-09-20T00:00:00-04:00,This is the ad that could sink Carly Fiorina&#039;s campaign,Chris Cillizza,http://www.washingtonpost.com/news/the-fix/wp/2015/09/17/this-is-the-ad-that-might-kill-carly-fiorinas-campaign/?tid=pm_pop,14
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Airplanes&#039; space wars are shifting to the human rights front,Christopher Elliott,http://www.washingtonpost.com/lifestyle/travel/airline-space-wars-are-shifting-to-the-human-rights-front/2015/09/17/d54999f4-5bce-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,15
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Fault lines in the GOP, as revealed by the less-watched undercard debate",Dan Balz,http://www.washingtonpost.com/politics/fault-lines-in-the-gop-as-revealed-by-the-less-watched-undercard-debate/2015/09/19/0d322354-5e4f-11e5-b38e-06883aacba64_story.html?tid=pm_pop,16
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"&#039;We felt invincible&#039;: Report details deadly wreck, party that preceded it",Donna St. George,http://www.washingtonpost.com/local/education/we-felt-invincible-new-report-details-deadly-teen-crash-party-that-preceded-it/2015/09/18/be2947ce-5d77-11e5-b38e-06883aacba64_story.html?tid=pm_pop,17
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Publicist: &#039;Hollywood Wives&#039; novelist Jackie Collins dies,andrew Dalton | AP,http://www.washingtonpost.com/entertainment/celebrities/publicist-hollywood-wives-novelist-jackie-collins-dies/2015/09/19/c178076c-5f34-11e5-8475-781cc9851652_story.html?tid=pm_pop,18
2015-09-20,web,all,2015-09-20T00:00:00-04:00,They would always be Helen and Dave,Tamara Jones,http://www.washingtonpost.com/local/they-would-always-be-helen-and-dave/2015/09/19/644abd68-5ed6-11e5-b38e-06883aacba64_story.html?tid=pm_pop,19
2015-09-20,web,all,2015-09-20T00:00:00-04:00,What the media gets wrong about Donald Trump&#039;s Obama-Muslim flap,David Weigel,http://www.washingtonpost.com/news/the-fix/wp/2015/09/18/why-nobody-can-agree-on-what-donald-trump-said-about-muslims/?tid=pm_pop,20
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Pope Francis arrives in Havana, praising U.S.-Cuba thaw",Nick Miroff,http://www.washingtonpost.com/world/the_americas/with-clean-streets-and-a-bit-of-suspense-cuba-awaits-pope-francis/2015/09/19/ee4a5ba6-5bf5-11e5-8475-781cc9851652_story.html?tid=pm_pop,21
2015-09-20,web,all,2015-09-20T00:00:00-04:00,A life sentence for shipping tainted peanuts? Victims&#039; families say yes.,Brady Dennis,http://www.washingtonpost.com/national/health-science/a-life-sentence-for-shipping-tainted-peanuts-victims-families-say-yes/2015/09/19/e844a314-5bf1-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,22
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Political parties go after million-dollar donors in wake of looser rules,Matea Gold,http://www.washingtonpost.com/politics/political-parties-go-after-million-dollar-donors-in-wake-of-looser-rules/2015/09/19/728b43fe-5ede-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,23
2015-09-20,web,all,2015-09-20T00:00:00-04:00,&#039;U. of California&#039;s Proposed Statement on Intolerance Is Widely Found Intolerable&#039;,Eugene Volokh,http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/09/16/u-of-californias-proposed-statement-on-intolerance-is-widely-found-intolerable/?tid=pm_pop,24
2015-09-20,web,all,2015-09-20T00:00:00-04:00,This Ted Cruz booster is 13 and black - and just shredded Obama on clock kid,Justin Wm. Moyer,http://www.washingtonpost.com/news/morning-mix/wp/2015/09/18/ted-cruz-ninja-is-13-black-and-just-shredded-obama-on-muslim-clock-boy/?tid=pm_pop,25
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"How publishing a 35,000-word manifesto led to the Unabomber",Paul Farhi,http://www.washingtonpost.com/lifestyle/style/how-publishing-a-35000-word-manifesto-led-to-the-unabomber/2015/09/18/e55229e0-5cac-11e5-9757-e49273f05f65_story.html?tid=pm_pop,26
2015-09-20,web,all,2015-09-20T00:00:00-04:00,The GOP candidates need a remedial course in constitutional law,Ruth Marcus,http://www.washingtonpost.com/opinions/the-candidates-constitution/2015/09/18/b2ceaea2-5e24-11e5-b38e-06883aacba64_story.html?tid=pm_pop,27
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"On Lesbos, endless waves of boats and fears of a more treacherous voyage",Griff Witte,http://www.washingtonpost.com/world/europe/on-lesbos-endless-waves-of-boats-and-fears-of-a-more-treacherous-voyage/2015/09/19/c9636f10-5aee-11e5-8475-781cc9851652_story.html?tid=pm_pop,28
2015-09-20,web,all,2015-09-20T00:00:00-04:00,I have a malignant brain tumor. But it&#039;s not really on my mind.,Whitney Archer,http://www.washingtonpost.com/opinions/i-have-cancer-but-i-sometimes-forget/2015/09/17/244dec30-5bca-11e5-9757-e49273f05f65_story.html?tid=pm_pop,29
2015-09-20,web,all,2015-09-20T00:00:00-04:00,No. 1 Buckeyes get major scare from Northern Illinois; Leonard Fournette makes Heisman bid,Matt Bonesteel,http://www.washingtonpost.com/news/early-lead/wp/2015/09/17/college-football-tv-schedule-preview-for-sept-17-20/?tid=pm_pop,30
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Jeb Bush responds to Trump: Obama is an &#039;American, he&#039;s a Christian&#039;",Sean Sullivan,http://www.washingtonpost.com/news/post-politics/wp/2015/09/18/jeb-bush-responds-to-trump-obama-is-an-american-hes-a-christian/?tid=pm_pop,31
2015-09-20,web,all,2015-09-20T00:00:00-04:00,I learned everything I needed to know about Donald Trump 25 years ago,Henry Allen,http://www.washingtonpost.com/opinions/donald-trump-showman-for-the-ages/2015/09/18/932cb496-5e0a-11e5-b38e-06883aacba64_story.html?tid=pm_pop,32
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Five myths about classified information,Elizabeth Goitein,http://www.washingtonpost.com/opinions/five-myths-about-classified-information/2015/09/18/a164c1a4-5d72-11e5-b38e-06883aacba64_story.html?tid=pm_pop,33
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Lady snake gives birth after being alone for eight years, doesn&#039;t need men",Elahe Izadi,http://www.washingtonpost.com/news/speaking-of-science/wp/2015/09/19/lady-snake-gives-birth-after-being-alone-for-eight-years-doesnt-need-men/?tid=pm_pop,34
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Woman files suit after D.C. Fig &amp; Olive salmonella outbreak,Victoria St. Martin,http://www.washingtonpost.com/local/crime/woman-files-suit-after-dc-fig-and-olive-salmonella-outbreak/2015/09/19/064d63ce-5e5d-11e5-9757-e49273f05f65_story.html?tid=pm_pop,35
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Anthony Rendon expected to return to third base next season,James Wagner,http://www.washingtonpost.com/news/nationals-journal/wp/2015/09/19/anthony-rendon-expected-to-return-to-third-base-next-season/?tid=pm_pop,36
2015-09-20,web,all,2015-09-20T00:00:00-04:00,The right - and surprisingly wrong - ways to get kids to sit still in class,Valerie Strauss,http://www.washingtonpost.com/blogs/answer-sheet/wp/2014/10/07/the-right-and-surprisingly-wrong-ways-to-get-kids-to-sit-still-in-class/?tid=pm_pop,37
2015-09-20,web,all,2015-09-20T00:00:00-04:00,DNC chair heckled over debate schedule at New Hampshire convention,John Wagner,http://www.washingtonpost.com/news/post-politics/wp/2015/09/19/dnc-chair-heckled-over-debate-schedule-at-new-hampshire-convention/?tid=pm_pop,38
2015-09-20,web,all,2015-09-20T00:00:00-04:00,D.C. police take most breath test machines out of service,Peter Hermann,http://www.washingtonpost.com/local/crime/dc-police-take-most-breath-test-machines-out-of-service/2015/09/19/f7c44428-5c93-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,39
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Where Pope Francis will sleep in D.C., New York and Philadelphia",Steve Hendrix,http://www.washingtonpost.com/local/where-pope-francis-will-sleep-in-dc-new-york-and-philadelphia/2015/09/17/b4942d9e-5bd0-11e5-b38e-06883aacba64_story.html?tid=pm_pop,40
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Why the modern civil rights movement keeps religious leaders at arm&#039;s length,Rahiel Tesfamariam,http://www.washingtonpost.com/opinions/how-black-activism-lost-its-religion/2015/09/18/2f56fc00-5d6b-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,41
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"When dating in your 40s, is it better to be divorced or never married?",Karen Yankosky,http://www.washingtonpost.com/news/soloish/wp/2015/09/18/when-dating-in-your-40s-is-it-better-to-be-divorced-or-never-married/?tid=pm_pop,42
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Bernie Sanders pays a visit to Stephen Colbert&#039;s &#039;Late Show&#039;,John Wagner,http://www.washingtonpost.com/news/post-politics/wp/2015/09/19/bernie-sanders-pays-a-visit-to-stephen-colberts-late-show/?tid=pm_pop,43
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Clinton takes aim at Trump, not a rising Sanders, in New Hampshire",John Wagner,http://www.washingtonpost.com/politics/clinton-takes-aim-at-trump-not-a-rising-sanders-in-new-hampshire/2015/09/19/19bf872a-5e30-11e5-b38e-06883aacba64_story.html?tid=pm_pop,44
2015-09-20,web,all,2015-09-20T00:00:00-04:00,The decline of play in preschoolers - and the rise in sensory issues,Valerie Strauss,http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/09/01/the-decline-of-play-in-preschoolers-and-the-rise-in-sensory-issues/?tid=pm_pop,45
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Crowds gather for gasps and cheers at Joint Base Andrews Air Show,Perry Stein,http://www.washingtonpost.com/local/crowds-gather-for-gasps-and-cheers-at-joint-base-andrews-air-show/2015/09/19/f4f3b46e-5ed6-11e5-b38e-06883aacba64_story.html?tid=pm_pop,46
2015-09-20,web,all,2015-09-20T00:00:00-04:00,The money question during the GOP debates,Kathleen Parker,http://www.washingtonpost.com/opinions/the-gop-face-offs-money-question/2015/09/18/bee5f818-5e37-11e5-9757-e49273f05f65_story.html?tid=pm_pop,47
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"The best political editorial in newspaper history, probably",Elahe Izadi,http://www.washingtonpost.com/news/the-fix/wp/2015/09/18/the-best-political-editorial-in-newspaper-history-probably/?tid=pm_pop,48
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Suspect arrested in 4 of 11 Phoenix freeway shootings,Terry Tang and Brian Skoloff | AP,http://www.washingtonpost.com/national/governor-suspect-arrested-in-phoenix-freeway-shootings/2015/09/18/3553fad4-5e76-11e5-8475-781cc9851652_story.html?tid=pm_pop,49
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Date Lab: Will a private evening tour of the National Mall inspire romance?,::unspecified::,http://www.washingtonpost.com/lifestyle/magazine/date-lab-we-sent-them-on-a-private-evening-tour-of-the-national-mall/2015/09/08/88cdd6ba-4d07-11e5-84df-923b3ef1a64b_story.html?tid=pm_pop,50
2015-09-20,web,all,2015-09-20T00:00:00-04:00,More waffling on Syria,Editorial Board,http://www.washingtonpost.com/opinions/more-waffling-on-syria/2015/09/19/fe9f29aa-5e20-11e5-b38e-06883aacba64_story.html?tid=pm_pop,51
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Why a government shutdown could be rational,Jim Tankersley,http://www.washingtonpost.com/news/wonkblog/wp/2015/09/18/why-a-government-shutdown-could-be-rational/?tid=pm_pop,52
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Utah police arrest man suspected in deaths of baby, 2 others",Michelle L. Price | AP,http://www.washingtonpost.com/national/utah-police-arrest-man-suspected-in-deaths-of-baby-2-others/2015/09/19/b84735ae-5f30-11e5-8475-781cc9851652_story.html?tid=pm_pop,53
2015-09-20,web,all,2015-09-20T00:00:00-04:00,The White House is more afraid of offending China&#039;s president than the pope,Editorial Board,http://www.washingtonpost.com/opinions/the-white-house-is-more-afraid-of-offending-chinas-president-than-the-pope/2015/09/18/33f9fde8-5e2e-11e5-9757-e49273f05f65_story.html?tid=pm_pop,54
2015-09-20,web,all,2015-09-20T00:00:00-04:00,A government shutdown: What federal employees need to know about their pay and benefits,Eric Yoder,http://www.washingtonpost.com/blogs/federal-eye/wp/2015/09/18/what-happens-to-federal-employee-pay-benefits-in-a-shutdown/?tid=pm_pop,55
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Dangers of pizza delivery; man gets punched in face near Capitol Hill,Martin Weil,http://www.washingtonpost.com/local/crime/dangers-of-pizza-delivery-man-gets-punched-in-face-near-capitol-hill/2015/09/18/88f21d92-5e62-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,56
2015-09-20,web,all,2015-09-20T00:00:00-04:00,I can&#039;t get drinks. I&#039;m already in some serious friendships.,Lisa Bonos,http://www.washingtonpost.com/news/soloish/wp/2015/09/10/i-cant-get-drinks-im-already-in-some-serious-friendships/?tid=pm_pop,57
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Watch how DARPA&#039;s new close air support system works on an A-10 attack jet,Thomas Gibbons-Neff,http://www.washingtonpost.com/news/checkpoint/wp/2015/09/19/watch-how-darpas-new-close-air-support-system-works-on-an-a-10-attack-jet/?tid=pm_pop,58
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Emmy Awards 2015 predictions: Who will win, who deserves to win and who could surprise us all",Emily Yahr,http://www.washingtonpost.com/news/style-blog/wp/2015/09/18/emmy-awards-2015-predictions-who-will-win-who-deserves-to-win-and-who-could-surprise-us-all/?tid=pm_pop,59
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Police launch search after woman goes over Niagara Falls,Associated Press,http://www.washingtonpost.com/national/police-launch-search-after-person-goes-over-niagara-falls/2015/09/19/7e26c1f8-5f2d-11e5-8475-781cc9851652_story.html?tid=pm_pop,60
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Jeremy Corbyn&#039;s dangerous appeal,Anne Applebaum,http://www.washingtonpost.com/opinions/jeremy-corbyns-dangerous-appeal/2015/09/16/9ab45ee2-5be1-11e5-b38e-06883aacba64_story.html?tid=pm_pop,61
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Planned Parenthood is a symbol. This is the reality of one Ohio clinic.,Monica Hesse,http://www.washingtonpost.com/lifestyle/style/planned-parenthood-is-a-symbol-this-is-the-reality-of-one-ohio-clinic/2015/09/15/b97c465e-4774-11e5-846d-02792f854297_story.html?tid=pm_pop,62
2015-09-20,web,all,2015-09-20T00:00:00-04:00,What Bernie Sanders means by &#039;democratic socialism.&#039; (You still have your choice of pajamas.),John Wagner,http://www.washingtonpost.com/news/post-politics/wp/2015/09/19/what-bernie-sanders-means-by-democratic-socialism-you-have-your-choice-of-pajamas/?tid=pm_pop,63
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"In one chart, the rules in all 50 states about opting kids out of standardized tests",Valerie Strauss,http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/09/19/in-one-chart-the-rules-in-all-50-states-about-opting-kids-out-of-standardized-tests/?tid=pm_pop,64
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Redskins assistant coach Bill Callahan knows what it takes to build blocks,Liz Clarke,http://www.washingtonpost.com/sports/redskins/for-redskins-line-coach-bill-callahan-building-blocks-starts-with-details/2015/09/19/37a7756c-5e04-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,65
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Redskins&#039; Rashad Ross ready for expanded role,Master Tesfatsion,http://www.washingtonpost.com/news/football-insider/wp/2015/09/19/redskins-rashad-ross-ready-for-expanded-role/?tid=pm_pop,66
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Stuff celebrities said about the GOP debate,Elise Viebeck,http://www.washingtonpost.com/news/powerpost/wp/2015/09/17/stuff-celebrities-said-about-the-gop-debate/?tid=pm_pop,67
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Three homicides push D.C.&#039;s total to 114 for the year,Justin Jouvenal,http://www.washingtonpost.com/local/crime/three-homicides-bump-dcs-total-to-114-for-the-year/2015/09/19/70ed0c52-5eda-11e5-b38e-06883aacba64_story.html?tid=pm_pop,68
2015-09-20,web,all,2015-09-20T00:00:00-04:00,A dangerous myth about who eats fast food is completely false,Roberto A. Ferdman,http://www.washingtonpost.com/news/wonkblog/wp/2015/09/18/rich-parents-might-look-down-on-fast-food-but-its-actually-their-kids-who-eat-it-the-most/?tid=pm_pop,69
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Hungary, Slovenia start to allow some migrants to pass through from Croatia",William Booth,http://www.washingtonpost.com/world/17000-asylum-seekers-stranded-in-croatia-with-nowhere-to-go/2015/09/19/ad6aae52-5c94-11e5-8475-781cc9851652_story.html?tid=pm_pop,70
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Fact checking the second round of GOP debates,Glenn Kessler,http://www.washingtonpost.com/blogs/fact-checker/wp/2015/09/17/fact-checking-the-second-round-of-gop-debates/?tid=pm_pop,71
2015-09-20,web,all,2015-09-20T00:00:00-04:00,An American Void,Stephanie McCrummen,http://www.washingtonpost.com/sf/national/2015/09/12/an-american-void/?tid=pm_pop,72
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Caleb Rowe gives Terps life - and a few scares - in win over South Florida,Roman Stubbs,http://www.washingtonpost.com/sports/colleges/caleb-rowe-gives-terps-life--and-a-few-scares--in-win-over-south-florida/2015/09/19/0b800424-5eed-11e5-b38e-06883aacba64_story.html?tid=pm_pop,73
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Redskins don&#039;t want to be the Rams, necessarily, but they like their style",Jerry Brewer,http://www.washingtonpost.com/sports/redskins/redskins-dont-want-to-be-the-rams-necessarily-but-they-like-their-style/2015/09/19/3adbfb0e-5e04-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,74
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Pope Francis may find Washington&#039;s &#039;Little Rome&#039; reminds him of home,Fredrick Kunkle,http://www.washingtonpost.com/local/social-issues/pope-francis-may-find-washingtons-little-rome-reminds-him-of-home/2015/09/19/1b3b6ade-5d44-11e5-b38e-06883aacba64_story.html?tid=pm_pop,75
2015-09-20,web,all,2015-09-20T00:00:00-04:00,3 children burned in boat explosion and fire in Calvert County,Justin Jouvenal,http://www.washingtonpost.com/local/crime/3-children-burned-in-boat-explosion-and-fire-in-calvert-county/2015/09/19/4d261ba4-5ef0-11e5-b38e-06883aacba64_story.html?tid=pm_pop,76
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"D.C. area forecast: One more warm day, then headed cooler and maybe eventually wetter",Ian Livingston,http://www.washingtonpost.com/blogs/capital-weather-gang/wp/2015/09/19/d-c-area-forecast-one-more-warm-day-then-headed-cooler-and-maybe-eventually-wetter/?tid=pm_pop,77
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Pope&#039;s visit will produce largest security operation in U.S. history,David Nakamura,http://www.washingtonpost.com/politics/popes-visit-will-produce-largest-security-operation-in-us-history/2015/09/18/642ca250-5d47-11e5-b38e-06883aacba64_story.html?tid=pm_pop,78
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Mauling, escapes and abuse: 6 small zoos, 80 sick or dead animals",Justin Jouvenal,http://www.washingtonpost.com/local/crime/mauling-escapes-and-abuse-6-small-zoos-80-sick-or-dead-animals/2015/09/18/dff46f10-2581-11e5-b77f-eb13a215f593_story.html?tid=pm_pop,79
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"No, Bernie Sanders is not going to bankrupt America to the tune of $18 trillion",Paul Waldman,http://www.washingtonpost.com/blogs/plum-line/wp/2015/09/15/no-bernie-sanders-is-not-going-to-bankrupt-america-to-the-tune-of-18-trillion/?tid=pm_pop,80
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Why so many parents are freaking out about Common Core math,Valerie Strauss,http://www.washingtonpost.com/blogs/answer-sheet/wp/2014/11/08/why-so-many-parents-are-freaking-out-about-common-core-math/?tid=pm_pop,81
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Greece&#039;s Tsipras locked in unexpectedly tight contest on eve of vote,Griff Witte,http://www.washingtonpost.com/world/europe/greeces-tsipras-locked-in-unexpectedly-tight-contest-on-eve-of-vote/2015/09/19/100bcd7c-5b26-11e5-8475-781cc9851652_story.html?tid=pm_pop,82
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Virginia Board of Health rolls back strict abortion clinic regulations,Jenna Portnoy,http://www.washingtonpost.com/local/virginia-politics/virginia-board-of-health-rolls-back-strict-abortion-clinic-regulations/2015/09/17/9a92666c-5d57-11e5-9757-e49273f05f65_story.html?tid=pm_pop,83
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Cyclist, a White House staffer, dies on charity ride after collision with a car",Martin Weil,http://www.washingtonpost.com/local/crime/cyclist-participating-in-charity-ride-dies-in-collision-with-car/2015/09/19/ed04a6ec-5f2f-11e5-9757-e49273f05f65_story.html?tid=pm_pop,84
2015-09-20,web,all,2015-09-20T00:00:00-04:00,It&#039;s official: The Republican Party has lost its mind,Jonathan Capehart,http://www.washingtonpost.com/blogs/post-partisan/wp/2015/09/16/its-official-the-republican-party-has-lost-its-mind/?tid=pm_pop,85
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Sutton Foster: From &#039;Star Search&#039; to centerstage at the Kennedy Center,Roger Catlin,http://www.washingtonpost.com/entertainment/theater_dance/sutton-foster-from-star-search-to-centerstage-at-the-kennedy-center/2015/09/17/f7eba478-58c4-11e5-b8c9-944725fcd3b9_story.html?tid=pm_pop,86
2015-09-20,web,all,2015-09-20T00:00:00-04:00,Malaysia&#039;s prime minister is a questionable ally,Editorial Board,http://www.washingtonpost.com/opinions/malaysias-prime-minister-is-a-questionable-ally/2015/09/18/f75df424-5d61-11e5-b38e-06883aacba64_story.html?tid=pm_pop,87
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Fiorina emerges in GOP debate, but Trump still dominates conversation",David A. Fahrenthold,http://www.washingtonpost.com/politics/in-tonights-republican-debate-its-still-all-about-the-outsiders/2015/09/16/b670b674-5c6f-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,88
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Putin&#039;s gambit, Obama&#039;s puzzlement",Charles Krauthammer,http://www.washingtonpost.com/opinions/putins-gambit-obamas-puzzlement/2015/09/17/8d168584-5d6d-11e5-9757-e49273f05f65_story.html?tid=pm_pop,89
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"House votes to defund Planned Parenthood, but will that help avert a shutdown?",Mike DeBonis,http://www.washingtonpost.com/news/powerpost/wp/2015/09/18/house-passes-planned-parenthood-defunding-and-anti-abortion-bills-but-will-they-help-avert-a-shutdown/?tid=pm_pop,90
2015-09-20,web,all,2015-09-20T00:00:00-04:00,GOP candidates spout irresponsible rhetoric on Planned Parenthood,Editorial Board,http://www.washingtonpost.com/opinions/2015/09/17/c522182a-5d7d-11e5-b38e-06883aacba64_story.html?tid=pm_pop,91
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"Arkansas receiver glances at broken arm, jogs off field (warning: icky)",Des Bieler,http://www.washingtonpost.com/news/early-lead/wp/2015/09/19/arkansas-receiver-glances-at-broken-arm-jogs-off-field-warning-icky/?tid=pm_pop,92
2015-09-20,web,all,2015-09-20T00:00:00-04:00,"In rural Kentucky, in the shadow of Kim Davis, another county clerk quietly does his job",James Higdon,http://www.washingtonpost.com/news/post-nation/wp/2015/09/18/in-the-backwoods-of-kentucky-in-the-shadow-of-kim-davis-another-county-clerk-quietly-does-his-job/?tid=pm_pop,93
